Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
SRR8616081	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KURAMOCHI	http://www.ebi.ac.uk/efo/EFO_0006625	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	KURAMOCHI	http://www.ebi.ac.uk/efo/EFO_0006625	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	Yes
SRR8616082	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CH-157MN		meningioma	http://www.orpha.net/ORDO/Orphanet_2495	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	CH-157MN		meningioma	http://www.orpha.net/ORDO/Orphanet_2495	Yes
SRR8616083	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CHP-212	http://www.ebi.ac.uk/efo/EFO_0002133	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	autonomic ganglion		CHP-212	http://www.ebi.ac.uk/efo/EFO_0002133	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
SRR8616084	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Toledo	http://www.ebi.ac.uk/efo/EFO_0002383	diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	hematopoietic system and lymphoid system		Toledo	http://www.ebi.ac.uk/efo/EFO_0002383	diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
SRR8616085	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TOV-112D	http://www.ebi.ac.uk/efo/EFO_0005263	ovarian endometrioid adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	TOV-112D	http://www.ebi.ac.uk/efo/EFO_0005263	ovarian endometrioid adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	Yes
SRR8616086	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Tm87-16		extrarenal rhabdoid tumor		soft tissue		Tm87-16		extrarenal rhabdoid tumor		Yes
SRR8616087	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TO 175.T		Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	TO 175.T		Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183	Yes
SRR8616088	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TIG-3 TD		normal cell line	http://www.ebi.ac.uk/efo/EFO_0002922	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	TIG-3 TD		normal cell line	http://www.ebi.ac.uk/efo/EFO_0002922	Yes
SRR8616089	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TM-31		astrocytoma	http://www.ebi.ac.uk/efo/EFO_0000272	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	TM-31		astrocytoma	http://www.ebi.ac.uk/efo/EFO_0000272	Yes
SRR8616090	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SH-4	http://www.ebi.ac.uk/efo/EFO_0002327	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	skin	http://purl.obolibrary.org/obo/UBERON_0000014	SH-4	http://www.ebi.ac.uk/efo/EFO_0002327	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
SRR8616091	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	THP-1	http://www.ebi.ac.uk/efo/EFO_0001253	childhood acute monocytic leukemia	http://www.ebi.ac.uk/efo/EFO_1001944	hematopoietic system and lymphoid system		THP-1	http://www.ebi.ac.uk/efo/EFO_0001253	childhood acute monocytic leukemia	http://www.ebi.ac.uk/efo/EFO_1001944	Yes
SRR8616092	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TEN		endometrial carcinoma	http://www.ebi.ac.uk/efo/EFO_1001512	endometrium	http://purl.obolibrary.org/obo/UBERON_0001295	TEN		endometrial carcinoma	http://www.ebi.ac.uk/efo/EFO_1001512	Yes
SRR8616093	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TF-1		erythroleukemia	http://www.ebi.ac.uk/efo/EFO_0000218	hematopoietic system and lymphoid system		TF-1		erythroleukemia	http://www.ebi.ac.uk/efo/EFO_0000218	Yes
SRR8616094	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RKN	http://www.ebi.ac.uk/efo/EFO_0006745	ovarian leiomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0006718	soft tissue		RKN	http://www.ebi.ac.uk/efo/EFO_0006745	ovarian leiomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0006718	Yes
SRR8616095	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SCC-9	http://www.ebi.ac.uk/efo/EFO_0006485	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	upper digestive tract	http://purl.obolibrary.org/obo/UBERON_0004908	SCC-9	http://www.ebi.ac.uk/efo/EFO_0006485	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	Yes
SRR8616096	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SCLC-21H	http://www.ebi.ac.uk/efo/EFO_0006749	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	SCLC-21H	http://www.ebi.ac.uk/efo/EFO_0006749	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8616097	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SCC-25	http://www.ebi.ac.uk/efo/EFO_0006483	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	upper digestive tract	http://purl.obolibrary.org/obo/UBERON_0004908	SCC-25	http://www.ebi.ac.uk/efo/EFO_0006483	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	Yes
SRR8616098	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SCC-4		tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	upper digestive tract	http://purl.obolibrary.org/obo/UBERON_0004908	SCC-4		tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	Yes
SRR8616099	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SCaBER	http://www.ebi.ac.uk/efo/EFO_0002325	bladder squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000130	urinary tract		SCaBER	http://www.ebi.ac.uk/efo/EFO_0002325	bladder squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000130	Yes
SRR8616100	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SCC-15	http://www.ebi.ac.uk/efo/EFO_0006482	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	upper digestive tract	http://purl.obolibrary.org/obo/UBERON_0004908	SCC-15	http://www.ebi.ac.uk/efo/EFO_0006482	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	Yes
SRR8616101	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Saos-2		osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	bone	http://purl.obolibrary.org/obo/UBERON_0002481	Saos-2		osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	Yes
SRR8616102	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SBC-5	http://www.ebi.ac.uk/efo/EFO_0002855	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	SBC-5	http://www.ebi.ac.uk/efo/EFO_0002855	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8616103	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LC-1F	http://www.ebi.ac.uk/efo/EFO_0002827	squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	lung	http://purl.obolibrary.org/obo/UBERON_0002048	LC-1F	http://www.ebi.ac.uk/efo/EFO_0002827	squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	Yes
SRR8616104	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SALE		normal cell line	http://www.ebi.ac.uk/efo/EFO_0002922	lung	http://purl.obolibrary.org/obo/UBERON_0002048	SALE		normal cell line	http://www.ebi.ac.uk/efo/EFO_0002922	Yes
SRR8616105	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2342		lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2342		lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8616106	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2291		lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2291		lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8616107	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2171	http://www.ebi.ac.uk/efo/EFO_0002282	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2171	http://www.ebi.ac.uk/efo/EFO_0002282	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8616108	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2170	http://www.ebi.ac.uk/efo/EFO_0002281	squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2170	http://www.ebi.ac.uk/efo/EFO_0002281	squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	Yes
SRR8616109	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2196	http://www.ebi.ac.uk/efo/EFO_0006676	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2196	http://www.ebi.ac.uk/efo/EFO_0006676	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8616110	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2172	http://www.ebi.ac.uk/efo/EFO_0006675	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2172	http://www.ebi.ac.uk/efo/EFO_0006675	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Yes
SRR8616111	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2228	http://www.ebi.ac.uk/efo/EFO_0002284	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2228	http://www.ebi.ac.uk/efo/EFO_0002284	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8616112	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2227		small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2227		small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8616113	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2286		squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2286		squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	Yes
SRR8616114	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H226	http://www.ebi.ac.uk/efo/EFO_0002285	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H226	http://www.ebi.ac.uk/efo/EFO_0002285	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8616115	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LCLC-103H	http://www.ebi.ac.uk/efo/EFO_0006634	large cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003050	lung	http://purl.obolibrary.org/obo/UBERON_0002048	LCLC-103H	http://www.ebi.ac.uk/efo/EFO_0006634	large cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003050	Yes
SRR8616116	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BICR 6		hypopharyngeal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1001960	upper digestive tract	http://purl.obolibrary.org/obo/UBERON_0004908	BICR 6		hypopharyngeal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1001960	Yes
SRR8616117	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BICR 56		tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	upper digestive tract	http://purl.obolibrary.org/obo/UBERON_0004908	BICR 56		tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	Yes
SRR8616118	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BL-70		Burkitts lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	hematopoietic system and lymphoid system		BL-70		Burkitts lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	Yes
SRR8616119	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BL-41		Burkitts lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	hematopoietic system and lymphoid system		BL-41		Burkitts lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	Yes
SRR8616120	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BICR 18		oral squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000199	upper digestive tract	http://purl.obolibrary.org/obo/UBERON_0004908	BICR 18		oral squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000199	Yes
SRR8616121	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BICR 16		tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	upper digestive tract	http://purl.obolibrary.org/obo/UBERON_0004908	BICR 16		tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	Yes
SRR8616122	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BICR 31	http://www.ebi.ac.uk/efo/EFO_0006542	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	upper digestive tract	http://purl.obolibrary.org/obo/UBERON_0004908	BICR 31	http://www.ebi.ac.uk/efo/EFO_0006542	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	Yes
SRR8616123	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BICR 22	http://www.ebi.ac.uk/efo/EFO_0006541	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	upper digestive tract	http://purl.obolibrary.org/obo/UBERON_0004908	BICR 22	http://www.ebi.ac.uk/efo/EFO_0006541	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	Yes
SRR8616124	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BT-20	http://www.ebi.ac.uk/efo/EFO_0001092	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	breast	http://purl.obolibrary.org/obo/UBERON_0000310	BT-20	http://www.ebi.ac.uk/efo/EFO_0001092	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
SRR8616125	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BT-12		atypical teratoid rhabdoid tumor	http://www.ebi.ac.uk/efo/EFO_1002008	soft tissue		BT-12		atypical teratoid rhabdoid tumor	http://www.ebi.ac.uk/efo/EFO_1002008	Yes
SRR8616126	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HMCB	http://www.ebi.ac.uk/efo/EFO_0002195	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	skin	http://purl.obolibrary.org/obo/UBERON_0000014	HMCB	http://www.ebi.ac.uk/efo/EFO_0002195	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
SRR8616127	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HMC-1-8		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	breast	http://purl.obolibrary.org/obo/UBERON_0000310	HMC-1-8		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
SRR8616128	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TE-9		esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	TE-9		esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	Yes
SRR8616129	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hep G2	http://www.ebi.ac.uk/efo/EFO_0001187	hepatoblastoma	http://www.ebi.ac.uk/efo/EFO_1000292	liver	http://purl.obolibrary.org/obo/UBERON_0002107	Hep G2	http://www.ebi.ac.uk/efo/EFO_0001187	hepatoblastoma	http://www.ebi.ac.uk/efo/EFO_1000292	Yes
SRR8616130	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hep 3B2.1-7		hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	liver	http://purl.obolibrary.org/obo/UBERON_0002107	Hep 3B2.1-7		hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	Yes
SRR8616131	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HGC-27	http://www.ebi.ac.uk/efo/EFO_0006581	gastric carcinoma	http://www.ebi.ac.uk/efo/EFO_0000178	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	HGC-27	http://www.ebi.ac.uk/efo/EFO_0006581	gastric carcinoma	http://www.ebi.ac.uk/efo/EFO_0000178	Yes
SRR8616132	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Hey-A8		high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Hey-A8		high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	Yes
SRR8616133	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HL-60	http://www.ebi.ac.uk/efo/EFO_0002793	adult acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_1001934	hematopoietic system and lymphoid system		HL-60	http://www.ebi.ac.uk/efo/EFO_0002793	adult acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_1001934	Yes
SRR8616134	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HH		cutaneous T-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0002913	hematopoietic system and lymphoid system		HH		cutaneous T-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0002913	Yes
SRR8616135	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HLF		hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	liver	http://purl.obolibrary.org/obo/UBERON_0002107	HLF		hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	Yes
SRR8616136	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HLF-a		squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	HLF-a		squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	Yes
SRR8616137	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CI-1	http://www.ebi.ac.uk/efo/EFO_0006367	B-cell non-Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_1001938	hematopoietic system and lymphoid system		CI-1	http://www.ebi.ac.uk/efo/EFO_0006367	B-cell non-Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_1001938	Yes
SRR8616138	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CJM		melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	skin	http://purl.obolibrary.org/obo/UBERON_0000014	CJM		melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
SRR8616139	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CL-11	http://www.ebi.ac.uk/efo/EFO_0006368	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	CL-11	http://www.ebi.ac.uk/efo/EFO_0006368	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
SRR8616140	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CL-14		colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	CL-14		colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
SRR8616141	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CL-34	http://www.ebi.ac.uk/efo/EFO_0006369	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	CL-34	http://www.ebi.ac.uk/efo/EFO_0006369	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
SRR8616142	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CL-40	http://www.ebi.ac.uk/efo/EFO_0006370	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	CL-40	http://www.ebi.ac.uk/efo/EFO_0006370	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
SRR8616143	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CMK	http://www.ebi.ac.uk/efo/EFO_0003037	childhood acute megakaryoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001943	hematopoietic system and lymphoid system		CMK	http://www.ebi.ac.uk/efo/EFO_0003037	childhood acute megakaryoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001943	Yes
SRR8616144	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CML-T1		chronic myelogenous leukemia	http://www.ebi.ac.uk/efo/EFO_0000339	hematopoietic system and lymphoid system		CML-T1		chronic myelogenous leukemia	http://www.ebi.ac.uk/efo/EFO_0000339	Yes
SRR8616145	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	COLO 201	http://www.ebi.ac.uk/efo/EFO_0002135	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	COLO 201	http://www.ebi.ac.uk/efo/EFO_0002135	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
SRR8616146	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	COLO-320	http://purl.obolibrary.org/obo/CLO_0002571	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	COLO-320	http://purl.obolibrary.org/obo/CLO_0002571	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
SRR8616147	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-N-DZ	http://www.ebi.ac.uk/efo/EFO_0005721	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	autonomic ganglion		SK-N-DZ	http://www.ebi.ac.uk/efo/EFO_0005721	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
SRR8616148	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	P31/FUJ		acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_0000222	hematopoietic system and lymphoid system		P31/FUJ		acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_0000222	Yes
SRR8616149	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	P12-ICHIKAWA		childhood T acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001947	hematopoietic system and lymphoid system		P12-ICHIKAWA		childhood T acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001947	Yes
SRR8616150	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Panc 02.03	http://www.ebi.ac.uk/efo/EFO_0006466	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Panc 02.03	http://www.ebi.ac.uk/efo/EFO_0006466	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	Yes
SRR8616151	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	P3HR-1		Epstein-Barr virus-related Burkitt lymphoma	http://www.ebi.ac.uk/efo/EFO_1001954	hematopoietic system and lymphoid system		P3HR-1		Epstein-Barr virus-related Burkitt lymphoma	http://www.ebi.ac.uk/efo/EFO_1001954	Yes
SRR8616152	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H69	http://www.ebi.ac.uk/efo/EFO_0002300	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H69	http://www.ebi.ac.uk/efo/EFO_0002300	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8616153	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H716	http://www.ebi.ac.uk/efo/EFO_0002301	cecum adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000020	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	NCI-H716	http://www.ebi.ac.uk/efo/EFO_0002301	cecum adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000020	Yes
SRR8616154	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OVTOKO	http://www.ebi.ac.uk/efo/EFO_0006728	ovarian clear cell adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000042	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	OVTOKO	http://www.ebi.ac.uk/efo/EFO_0006728	ovarian clear cell adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000042	Yes
